Incident energy;
Incident energy;
Incident energy;?(E)
8.489047;0.001406548
8.50204;0.00134806
8.51194;0.001318217
8.52184;0.001298169
8.54164;0.001281008
8.55649;0.001284368
8.57134;0.001299592
8.60104;0.001362942
8.624553;0.001444886
8.648065;0.001559037
8.671578;0.00171306
8.69509;0.001919691
8.706847;0.002048846
8.718603;0.002199967
8.730359;0.002378093
8.742115;0.002590031
8.753872;0.002845255
8.765628;0.00315724
8.777384;0.003546004
8.78914;0.004042119
8.800278;0.00465434
8.805847;0.005031371
8.811415;0.005469345
8.816984;0.005981815
8.822553;0.006585148
8.828122;0.00729932
8.83369;0.008148153
8.839259;0.00916033
8.844828;0.0103687
8.850397;0.01181086
8.855965;0.01352822
8.861534;0.0155665
8.867103;0.01797238
8.872672;0.02079261
8.87824;0.02407032
8.884428;0.02829528
8.890615;0.03316638
8.896803;0.03869738
8.90299;0.04486779
8.915365;0.05886301
8.92774;0.07418143
8.940115;0.08918814
8.95249;0.1018215
8.958368;0.1063891
8.964245;0.1097732
8.970123;0.1118366
8.976;0.1124929
8.98412;0.1110475
8.99224;0.106996
8.998317;0.1024459
9.004394;0.09680986
9.016547;0.0832281
9.038533;0.05633762
9.049526;0.04423696
9.055022;0.03885718
9.060518;0.0339807
9.068214;0.02801978
9.075909;0.02304614
9.079757;0.02090698
9.083604;0.01898402
9.087452;0.01726228
9.091299;0.01572792
9.096246;0.0140054
9.101193;0.01253559
9.10614;0.01128824
9.111087;0.01023527
9.116034;0.009351233
9.120981;0.008613619
9.125928;0.008002989
9.130874;0.007503035
9.135821;0.007100089
9.140768;0.006783558
9.145715;0.006545297
9.150661;0.006379526
9.155608;0.006282493
9.160555;0.006252455
9.165502;0.006289304
9.170448;0.006394362
9.178144;0.006699829
9.185839;0.007190686
9.193534;0.007883537
9.201229;0.008794285
9.208924;0.009934131
9.216619;0.01130511
9.224314;0.01289558
9.232009;0.01467634
9.240803;0.01688017
9.249048;0.01901885
9.257293;0.02111365
9.265538;0.02303738
9.273782;0.02465924
9.279587;0.02555461
9.285391;0.02620541
9.291196;0.02658532
9.297;0.02667784
9.304883;0.02633596
9.31283;0.02546802
9.320776;0.02413338
9.328722;0.02242052
9.336668;0.0204374
9.34799;0.01737168
9.359312;0.01430235
9.370634;0.01147367
9.376295;0.0102007
9.381956;0.009037285
9.386618;0.00816492
9.39128;0.007370414
9.395942;0.006652284
9.400604;0.006007627
9.405266;0.005432464
9.409928;0.00492205
9.41459;0.004471169
9.419252;0.004074374
9.423914;0.003726198
9.428576;0.003421315
9.433238;0.003154659
9.4379;0.002921513
9.442562;0.002717559
9.447224;0.002538902
9.451886;0.002382078
9.456548;0.002244037
9.461543;0.002113968
9.466538;0.001999609
9.476528;0.001808861
9.486518;0.001656933
9.496508;0.001533424
9.506498;0.0014311
9.516488;0.001344906
9.526478;0.001271262
9.536468;0.001207586
9.546458;0.001151976
9.556448;0.001102995
9.576428;0.001020756
9.596408;9.545704E-4
9.616387;9.00386E-4
9.632371;8.638049E-4
9.648355;8.321221E-4
9.680323;7.804793E-4
9.712291;7.408985E-4
9.744258;7.103754E-4
9.776226;6.869492E-4
9.808194;6.693897E-4
9.840162;6.569079E-4
9.872129;6.490004E-4
9.914753;6.451574E-4
9.957377;6.491079E-4
10.0;6.622288E-4
10.02061;6.730231E-4
10.04122;6.881888E-4
10.06183;7.102502E-4
10.07213;7.253146E-4
10.08243;7.443364E-4
10.09274;7.687015E-4
10.10304;8.000806E-4
10.11334;8.405112E-4
10.12364;8.921358E-4
10.13395;9.569678E-4
10.14425;0.001036152
10.15455;0.001129766
10.16485;0.001236021
10.18628;0.001477636
10.197;0.001592946
10.20771;0.001691574
10.211;0.001717095
10.221;0.001777549
10.231;0.001809047
10.23975;0.001811631
10.2485;0.001792042
