incident energy,cross_section
47.71654,0.2312606
47.76314,0.2039253
47.80974,0.1815012
47.85634,0.1628703
47.90294,0.1472211
47.94954,0.1339509
47.99614,0.1226017
48.04274,0.1128157
48.08935,0.1043071
48.13595,0.09685487
48.22915,0.0844567
48.32235,0.07463611
48.41555,0.06673977
48.53206,0.05887521
48.64856,0.0526607
48.76507,0.04767336
48.88157,0.04363424
49.02138,0.03969874
49.16118,0.03648577
49.30099,0.03385231
49.44079,0.03167465
49.7204,0.02832213
50,0.02591535
50.40314,0.02349405
50.80628,0.02185603
51.07503,0.02107058
51.47817,0.02020871
51.8813,0.0195874
52.68757,0.01885523
53.49384,0.01861574
54.3001,0.01859592
55.78905,0.01908586
57.278,0.01998156
58.76695,0.02123396
60.2559,0.02284104
61.74485,0.02481035
63.2338,0.02721398
64.72275,0.03021916
66.2117,0.03389924
67.2644,0.03708442
68.31709,0.040874
69.36979,0.04542838
70.42248,0.05096729
71.47518,0.05769014
72.52787,0.06621074
73.58056,0.07710022
74.10691,0.08373525
74.63325,0.09139512
75.20568,0.1011614
75.7781,0.1127865
76.35052,0.1268052
76.92294,0.1439829
77.49536,0.165361
77.78157,0.1780159
78.06778,0.1924734
78.35399,0.2085511
78.6402,0.2269011
78.92641,0.2483809
79.21262,0.2733611
79.60631,0.3149872
80,0.3678466
80.25786,0.410654
80.51572,0.4619737
80.77358,0.5243106
81.03144,0.6006928
81.2893,0.6956867
81.41823,0.7529173
81.54716,0.8179987
81.67609,0.8923839
81.80502,0.9779568
81.93395,1.077115
82.06288,1.192939
82.20041,1.339403
82.33793,1.51591
82.47546,1.73135
82.61298,1.997611
82.75051,2.331758
82.81927,2.532378
82.88803,2.761431
82.9568,3.024696
83.02556,3.329151
83.09432,3.683826
83.16308,4.100429
83.22218,4.519605
83.28127,5.008458
83.34037,5.583648
83.39946,6.266875
83.45856,7.088237
83.48811,7.563127
83.51765,8.089236
83.5472,8.675008
83.57674,9.329837
83.59152,9.687106
83.60629,10.06614
83.62106,10.46912
83.63583,10.89821
83.65141,11.38184
83.66699,11.90049
83.68257,12.45789
83.69814,13.05789
83.70835,13.47697
83.71856,13.9182
83.72769,14.33294
83.73682,14.76815
83.74596,15.22591
83.75509,15.70691
83.76422,16.21354
83.77335,16.74793
83.78302,17.34686
83.79269,17.98284
83.80236,18.65954
83.81203,19.38116
83.8217,20.15257
83.83137,20.97935
83.84104,21.86799
83.8507,22.82503
83.86252,24.10323
83.87434,25.5175
83.88616,27.091
83.89798,28.85182
83.9098,30.83399
83.92162,33.07872
83.93344,35.63577
83.94526,38.56502
83.95601,41.61246
83.96675,45.08728
83.9775,49.07035
83.98824,53.64049
83.99899,58.90574
84.00973,64.97013
84.02047,71.96744
84.03121,80.04324
84.04196,89.36934
84.0527,100.1082
84.06345,112.4766
84.07419,126.6641
84.08494,142.9238
84.09568,161.4638
84.10642,182.544
84.11716,206.4138
84.12898,236.2035
84.1408,269.9875
84.15262,308.0563
84.16444,350.66
84.17626,397.9933
84.18808,450.1782
84.1999,507.2484
84.21171,569.0778
84.23535,706.3831
84.25899,858.8864
84.30626,1185.378
84.3342,1369.35
84.36213,1526.034
84.38512,1623.102
84.4081,1683.443
84.43,1702.489
84.45179,1682.783
84.47357,1625.969
84.49871,1519.581
84.52384,1378.734
84.56334,1116.238
84.60283,844.5112
84.62258,717.3628
84.64233,600.6124
84.66208,496.288
84.68183,405.3675
84.70158,327.93
84.71146,294.078
84.72133,263.3527
84.73121,235.5387
84.74108,210.522
84.75095,188.0901
84.76082,168.0535
84.77025,150.9706
84.77967,135.7472
84.7891,122.188
84.79852,110.165
84.80795,99.50262
84.81737,90.08253
84.8268,81.75274
84.83622,74.40898
84.84565,67.92364
84.85507,62.20858
84.8645,57.15945
84.87392,52.70422
84.89277,45.26817
84.91162,39.40537
84.93047,34.73328
84.94932,30.9613
84.96817,27.87163
84.98702,25.3026
85.00587,23.13493
85.02472,21.28071
85.04357,19.67496
85.06242,18.26936
85.09653,16.12285
85.13064,14.36635
85.16475,12.90226
85.19886,11.66436
85.23297,10.60562
85.26708,9.691359
85.30119,8.895347
85.3353,8.197351
85.40352,7.035064
85.47174,6.111549
85.53996,5.365025
85.60818,4.75278
85.67281,4.26899
85.73744,3.859456
85.80207,3.509775
85.8667,3.208716
85.93133,2.947421
85.99596,2.718987
86.12522,2.340621
86.25448,2.04314
86.38374,1.805928
86.513,1.614381
86.64226,1.4581
86.74998,1.349308
86.8577,1.25648
87.07313,1.109211
87.28856,1.002129
87.50399,0.924052
87.71943,0.8691993
87.93486,0.8343265
88.15029,0.8172087
88.36572,0.8169016
88.59552,0.8353966
88.82531,0.8751579
89.01202,0.9256364
89.19873,0.9953192
89.38544,1.088746
89.57215,1.214829
89.75886,1.384417
89.85222,1.490446
89.94557,1.614386
90.03893,1.760079
90.13228,1.932386
90.22563,2.137601
90.31898,2.383949
90.40516,2.657705
90.49133,2.988969
90.5775,3.395593
90.66367,3.902308
90.74985,4.54464
90.79294,4.932268
90.83602,5.375527
90.87911,5.885996
90.92219,6.477991
90.96528,7.170753
91.00836,7.989207
91.04248,8.749115
91.07659,9.632264
91.1107,10.67005
91.14481,11.90611
91.16187,12.61755
91.17892,13.40426
91.19598,14.28062
91.21303,15.26271
91.22156,15.80054
91.23009,16.37367
91.23862,16.9859
91.24714,17.64076
91.25567,18.34476
91.2642,19.10285
91.27273,19.92156
91.28125,20.8073
91.29202,22.03766
91.30279,23.4106
91.31356,24.95009
91.32433,26.68448
91.3351,28.64725
91.34498,30.68219
91.35485,32.97516
91.36428,35.44595
91.3737,38.22814
91.38313,41.37327
91.39255,44.92604
91.40198,48.95173
91.4114,53.50609
91.42083,58.67014
91.43025,64.51145
91.43968,71.1284
91.4491,78.60019
91.45853,87.04326
91.46795,96.54692
91.47783,107.7871
91.4877,120.4514
91.49758,134.7073
91.50745,150.6706
91.51733,168.5195
91.5272,188.3612
91.53708,210.3743
91.54695,234.6437
91.55683,261.3353
91.5667,290.4945
91.57658,322.2583
91.58645,356.6138
91.6062,433.2795
91.62594,520.1541
91.64569,616.3387
91.66544,720.0184
91.70494,938.7431
91.73546,1102.582
91.76597,1244.145
91.78572,1316.338
91.80546,1368.769
91.82273,1396.26
91.84,1405.38
91.86163,1390.389
91.88325,1347.064
91.90509,1277.383
91.92693,1186.082
91.94778,1083.818
91.96863,972.1467
92.01033,741.1772
92.03019,635.9044
92.05004,537.8043
92.0699,448.7235
92.08975,369.8877
92.10961,301.6272
92.12946,243.8195
92.13939,218.6216
92.14932,195.7611
92.15925,175.111
92.16917,156.5519
92.17861,140.6813
92.18804,126.4429
92.19747,113.6934
92.2069,102.3086
92.21633,92.16799
92.22576,83.15563
92.23519,75.16136
92.24462,68.08147
92.25406,61.81297
92.26349,56.27955
92.27292,51.39196
92.28235,47.0753
92.29178,43.26174
92.30121,39.89022
92.32007,34.26089
92.33894,29.81786
92.3578,26.28014
92.37666,23.42675
92.39552,21.09299
92.41438,19.15591
92.43324,17.52431
92.4521,16.13075
92.47096,14.92532
92.50472,13.12601
92.53847,11.66949
92.57223,10.46343
92.60598,9.44863
92.63974,8.583093
92.67349,7.837549
92.70724,7.189434
92.74099,6.621701
92.8085,5.676823
92.87601,4.925947
92.94352,4.3184
93.01102,3.819507
93.07456,3.426888
93.1381,3.093464
93.20164,2.807852
93.26517,2.561363
93.32871,2.347088
93.39224,2.159617
93.51931,1.847976
93.64639,1.600352
93.77346,1.400314
93.90053,1.236577
94.0276,1.100869
94.17056,0.974165
94.31352,0.8689121
94.45648,0.7804826
94.59943,0.7054507
94.74239,0.6412822
94.88534,0.5861664
95.0283,0.5383607
95.17125,0.4962193
95.37775,0.4437601
95.58424,0.3996042
95.79073,0.3620857
95.99722,0.3299193
96.20372,0.3021169
96.41021,0.277913
96.82319,0.2379965
97.23618,0.2066487
97.64916,0.1819659
98.06215,0.1613595
98.47513,0.1443752
98.85635,0.1312424
99.23757,0.1199833
99.61879,0.1102215
100,0.1017489
100.5445,0.09146933
101.089,0.08288781
101.6335,0.07564305
102.178,0.06962452
102.7225,0.06429271
103.267,0.05974226
103.8115,0.0556644
104.3559,0.05226741
104.9004,0.04913716
105.4449,0.04651843
106.5339,0.04205336
107.6229,0.03857715
108.7118,0.03588942
109.9218,0.03366303
111.1317,0.03208433
112.3417,0.03105948
113.5516,0.03056982
114.7011,0.03062096
115.8506,0.03119652
117.0001,0.03235764
118.1495,0.03422789
119.299,0.03703259
120.4484,0.04117476
121.5979,0.04712389
122.1726,0.05113576
122.7473,0.0560755
123.2616,0.06151032
123.7758,0.06818889
124.2901,0.07650597
124.8043,0.087021
125.3186,0.1005658
125.5757,0.1087206
125.8328,0.1180655
126.0899,0.1290813
126.347,0.1420085
126.6041,0.1572854
126.8612,0.1755174
127.1032,0.1961054
127.3452,0.2209546
127.5872,0.2513305
127.8292,0.2889567
128.0712,0.3360574
128.1922,0.364308
128.3132,0.3966225
128.4342,0.4337795
128.5552,0.4767242
128.6762,0.5266974
128.7971,0.5852732
128.9257,0.6594659
129.0542,0.7492327
129.1828,0.8594522
129.3113,0.9965389
129.4399,1.170249
129.5042,1.275131
129.5684,1.395082
129.6327,1.533734
129.697,1.695057
129.7613,1.88439
129.8255,2.108358
129.8936,2.394578
129.9617,2.746213
130.0298,3.185872
130.0638,3.448403
130.0978,3.747126
130.1319,4.090863
130.1659,4.488068
130.1999,4.954247
130.2339,5.51062
130.268,6.191669
130.302,7.044452
130.319,7.55993
130.336,8.15311
130.353,8.842539
130.37,9.651849
130.3847,10.4712
130.3994,11.42654
130.4141,12.54709
